dateTime,open,high,low,close,volume
1674036000000,21230.54000000,21257.31000000,21209.00000000,21240.24000000,3502.17244000
1674037800000,21239.71000000,21242.66000000,21164.51000000,21183.83000000,3981.62393000
1674039600000,21183.02000000,21222.74000000,21172.90000000,21210.39000000,3562.07821000
1674041400000,21209.88000000,21237.47000000,21196.04000000,21204.67000000,3442.10458000
1674043200000,21204.67000000,21247.80000000,21202.57000000,21228.89000000,3548.82262000
1674045000000,21229.50000000,21295.97000000,21223.14000000,21259.18000000,4238.20580000
1674046800000,21260.13000000,21300.14000000,21248.39000000,21256.96000000,4061.24880000
1674048600000,21257.39000000,21471.27000000,21196.03000000,21403.31000000,19102.37122000
1674050400000,21403.31000000,21650.00000000,21341.84000000,21400.95000000,18798.90163000
1674052200000,21399.29000000,21461.75000000,21314.12000000,21424.30000000,12505.08358000
1674054000000,21424.30000000,21560.00000000,21404.57000000,21432.14000000,9656.40202000
1674055800000,21432.14000000,21434.46000000,20842.00000000,21042.73000000,25627.77501000
1674057600000,21042.73000000,21042.73000000,20515.77000000,20670.72000000,28733.96316000
1674059400000,20670.72000000,20928.09000000,20407.15000000,20845.47000000,18625.42800000
1674061200000,20849.89000000,21136.80000000,20743.53000000,20922.85000000,28074.80540000
1674063000000,20922.85000000,21030.76000000,20851.22000000,20887.85000000,9456.24230000
1674064800000,20887.85000000,21055.75000000,20840.81000000,20995.96000000,8343.24042000
1674066600000,20994.81000000,21063.52000000,20844.82000000,20936.83000000,10326.82176000
1674068400000,20936.37000000,20971.00000000,20881.19000000,20963.35000000,4702.92345000
1674070200000,20964.44000000,20980.00000000,20891.12000000,20906.54000000,4282.91750000
1674072000000,20905.37000000,20938.67000000,20821.29000000,20864.39000000,5675.03572000
1674073800000,20863.24000000,20864.78000000,20666.79000000,20732.60000000,9511.87307000
1674075600000,20731.35000000,20841.18000000,20712.96000000,20757.15000000,6264.70261000
1674077400000,20757.15000000,20810.00000000,20736.41000000,20780.36000000,3037.96067000
1674079200000,20780.36000000,20783.62000000,20624.02000000,20737.92000000,4464.65076000
1674081000000,20737.92000000,20815.00000000,20724.01000000,20805.80000000,2401.83110000
1674082800000,20805.80000000,20818.01000000,20726.03000000,20739.69000000,2402.26798000
1674084600000,20737.83000000,20756.61000000,20642.69000000,20677.47000000,6848.50753000
1674086400000,20677.47000000,20764.64000000,20660.15000000,20709.14000000,5945.41784000
1674088200000,20709.14000000,20742.67000000,20684.05000000,20694.01000000,4544.90439000
1674090000000,20694.64000000,20774.79000000,20676.32000000,20768.85000000,4462.60400000
1674091800000,20768.85000000,20775.85000000,20698.35000000,20716.95000000,3917.03072000
1674093600000,20716.95000000,20744.83000000,20659.19000000,20741.24000000,4978.13648000
1674095400000,20741.93000000,20777.82000000,20731.75000000,20763.66000000,3805.65119000
1674097200000,20763.32000000,20817.85000000,20748.07000000,20791.83000000,5124.08100000
1674099000000,20792.30000000,20797.32000000,20742.30000000,20748.04000000,4489.68816000
1674100800000,20748.04000000,20837.97000000,20742.71000000,20822.79000000,4247.10053000
1674102600000,20823.55000000,20874.81000000,20804.09000000,20810.18000000,4367.72187000
1674104400000,20810.53000000,20851.14000000,20803.29000000,20821.00000000,3124.70673000
1674106200000,20821.30000000,20825.52000000,20793.34000000,20814.82000000,2957.48821000
1674108000000,20814.82000000,20840.00000000,20799.00000000,20831.73000000,3388.23997000
1674109800000,20831.74000000,20856.00000000,20826.51000000,20828.59000000,3474.45677000
1674111600000,20829.12000000,20848.83000000,20812.77000000,20828.91000000,4045.07553000
1674113400000,20828.91000000,20836.00000000,20803.39000000,20818.95000000,3243.83676000
1674115200000,20818.94000000,20846.75000000,20771.83000000,20800.01000000,5316.41175000
1674117000000,20800.75000000,20817.31000000,20758.00000000,20769.06000000,4257.13449000
1674118800000,20769.06000000,20798.20000000,20758.11000000,20765.96000000,3739.45092000
1674120600000,20766.55000000,20810.00000000,20730.58000000,20795.39000000,4980.84870000
1674122400000,20794.73000000,20802.97000000,20758.51000000,20759.36000000,3669.50767000
1674124200000,20759.36000000,20799.31000000,20749.98000000,20796.47000000,3970.89423000
1674126000000,20796.47000000,20799.83000000,20715.42000000,20729.92000000,4753.12430000
1674127800000,20729.92000000,20753.25000000,20706.90000000,20743.72000000,4835.06827000
1674129600000,20744.17000000,20775.71000000,20715.74000000,20766.61000000,4507.50351000
1674131400000,20766.61000000,20767.45000000,20679.65000000,20727.03000000,6121.76129000
1674133200000,20728.30000000,20777.99000000,20660.80000000,20773.97000000,6931.81697000
1674135000000,20773.97000000,20813.98000000,20702.26000000,20776.95000000,7939.18530000
1674136800000,20776.06000000,20795.22000000,20718.83000000,20770.64000000,5441.06239000
1674138600000,20770.70000000,20883.80000000,20750.00000000,20799.40000000,11772.70759000
1674140400000,20799.98000000,20960.23000000,20785.00000000,20907.61000000,11386.16517000
1674142200000,20906.67000000,20925.48000000,20860.40000000,20876.44000000,7231.55801000
1674144000000,20876.44000000,20926.84000000,20826.76000000,20894.92000000,6426.69122000
1674145800000,20894.91000000,20897.48000000,20840.01000000,20875.41000000,5396.00140000
1674147600000,20874.69000000,20944.71000000,20874.65000000,20903.77000000,5875.05615000
1674149400000,20902.81000000,20903.81000000,20791.13000000,20841.16000000,5817.39504000
1674151200000,20841.16000000,20909.69000000,20831.08000000,20882.68000000,5363.68669000
1674153000000,20882.68000000,21023.11000000,20877.96000000,20977.73000000,7345.41598000
1674154800000,20978.76000000,21100.00000000,20949.34000000,21077.04000000,7599.64487000
1674156600000,21077.04000000,21142.07000000,21040.30000000,21090.95000000,7685.06807000
1674158400000,21092.10000000,21192.00000000,21090.42000000,21144.66000000,7975.24765000
1674160200000,21143.48000000,21150.61000000,21036.76000000,21102.44000000,6055.31105000
1674162000000,21102.44000000,21115.28000000,21008.79000000,21041.71000000,4583.63613000
1674163800000,21041.06000000,21048.99000000,20919.31000000,20932.98000000,4319.14501000
1674165600000,20933.65000000,21021.18000000,20930.01000000,20994.16000000,3526.52869000
1674167400000,20994.19000000,21083.57000000,20993.15000000,21065.23000000,3122.05588000
1674169200000,21065.84000000,21079.00000000,21015.81000000,21062.47000000,3592.52304000
1674171000000,21062.44000000,21125.43000000,21044.38000000,21071.59000000,3732.10167000
1674172800000,21071.59000000,21113.32000000,21032.72000000,21102.38000000,5085.63426000
1674174600000,21103.22000000,21121.42000000,21028.95000000,21054.74000000,4309.33199000
1674176400000,21054.02000000,21151.67000000,21013.96000000,21132.94000000,5052.82486000
1674178200000,21132.93000000,21136.11000000,21090.00000000,21117.28000000,4271.86570000
1674180000000,21116.44000000,21182.45000000,21096.96000000,21169.88000000,5397.18916000
1674181800000,21169.88000000,21219.60000000,21078.55000000,21079.66000000,6149.94441000
1674183600000,21079.66000000,21113.21000000,21058.02000000,21096.44000000,3651.49133000
1674185400000,21096.02000000,21113.61000000,21073.45000000,21087.74000000,3223.04876000
